Date,Ticker,Property,Value
2024-10-15,Citi,Sigma,0.56
2024-10-16,Apple,Skew,-0.04
2024-10-16,Apple,Smile,-0.33
2024-10-16,Apple,Sigma,0.62
2024-10-16,Amazon,Skew,0.27
2024-10-16,Amazon,Smile,0.54
2024-10-16,Amazon,Sigma,-0.79
2024-10-16,Citi,Skew,0.17
2024-10-16,Citi,Smile,-0.49
2024-10-16,Citi,Sigma,-0.52
2024-10-17,Apple,Skew,-0.4
2024-10-17,Apple,Smile,-0.43
2024-10-17,Apple,Sigma,-0.04
2024-10-17,Amazon,Skew,0.05
2024-10-17,Amazon,Smile,-0.64
2024-10-17,Amazon,Sigma,-0.48
2024-10-17,Citi,Skew,-0.36
2024-10-17,Citi,Smile,0.12
2024-10-17,Citi,Sigma,0.48
2024-10-18,Apple,Skew,0.77
2024-10-18,Apple,Smile,0.27
2024-10-18,Apple,Sigma,-0.65
2024-10-18,Amazon,Skew,0.68
2024-10-18,Amazon,Smile,-0.62
2024-10-18,Amazon,Sigma,-0.73
2024-10-18,Citi,Skew,0.53
2024-10-18,Citi,Smile,0.42
2024-10-18,Citi,Sigma,-0.6
2024-10-19,Apple,Skew,-0.17
2024-10-19,Apple,Smile,-0.37
2024-10-19,Apple,Sigma,-0.39
2024-10-19,Amazon,Skew,0.01
2024-10-19,Amazon,Smile,0.85
2024-10-19,Amazon,Sigma,-0.02
2024-10-19,Citi,Skew,-1.0
2024-10-19,Citi,Smile,-0.93
2024-10-19,Citi,Sigma,-0.42
2024-10-20,Apple,Skew,0.35
2024-10-20,Apple,Smile,-0.18
2024-10-20,Apple,Sigma,-0.37
2024-10-20,Amazon,Skew,0.35
2024-10-20,Amazon,Smile,-0.75
2024-10-20,Amazon,Sigma,0.05
2024-10-20,Citi,Skew,0.69
2024-10-20,Citi,Smile,-0.87
2024-10-20,Citi,Sigma,-0.36
2024-10-21,Apple,Skew,-0.09
2024-10-21,Apple,Smile,-0.19
2024-10-21,Apple,Sigma,0.03
2024-10-21,Amazon,Skew,0.99
2024-10-21,Amazon,Smile,-0.52
2024-10-21,Amazon,Sigma,0.19
2024-10-21,Citi,Skew,-0.15
2024-10-21,Citi,Smile,0.77
2024-10-21,Citi,Sigma,-0.27
2024-10-22,Apple,Skew,13.99
2024-10-22,Apple,Smile,14.6
2024-10-22,Apple,Sigma,14.96
2024-10-22,Amazon,Skew,12.95
2024-10-22,Amazon,Smile,12.77
2024-10-22,Amazon,Sigma,14.34
2024-10-22,Citi,Skew,14.21
2024-10-22,Citi,Smile,12.55
2024-10-22,Citi,Sigma,14.41
2024-10-23,Apple,Skew,0.13
2024-10-23,Apple,Smile,-0.03
2024-10-23,Apple,Sigma,-0.44
2024-10-23,Amazon,Skew,0.29
2024-10-23,Amazon,Smile,-0.59
2024-10-23,Amazon,Sigma,0.56
2024-10-23,Citi,Skew,-0.69
2024-10-23,Citi,Smile,-0.2
2024-10-23,Citi,Sigma,0.71
2024-10-24,Apple,Skew,0.44
2024-10-24,Apple,Smile,0.27
2024-10-24,Apple,Sigma,0.35
2024-10-24,Amazon,Skew,-0.12
2024-10-24,Amazon,Smile,0.31
2024-10-24,Amazon,Sigma,-0.97
2024-10-24,Citi,Skew,0.74
2024-10-24,Citi,Smile,0.88
2024-10-24,Citi,Sigma,-0.2
2024-10-25,Apple,Skew,0.09
2024-10-25,Apple,Smile,-0.79
2024-10-25,Apple,Sigma,0.84
2024-10-25,Amazon,Skew,-0.06
2024-10-25,Amazon,Smile,-0.97
2024-10-25,Amazon,Sigma,-0.32
2024-10-25,Citi,Skew,-0.27
2024-10-25,Citi,Smile,0.35
2024-10-25,Citi,Sigma,0.45
2024-10-26,Apple,Skew,-0.61
2024-10-26,Apple,Smile,-0.31
2024-10-26,Apple,Sigma,0.79
2024-10-26,Amazon,Skew,-0.74
2024-10-26,Amazon,Smile,0.96
2024-10-26,Amazon,Sigma,-0.3
2024-10-26,Citi,Skew,0.72
2024-10-26,Citi,Smile,-0.52
2024-10-26,Citi,Sigma,-0.97
2024-10-27,Apple,Skew,0.4
2024-10-27,Apple,Smile,-0.97
2024-10-27,Apple,Sigma,0.75
2024-10-27,Amazon,Skew,-0.57
2024-10-27,Amazon,Smile,-0.84
2024-10-27,Amazon,Sigma,-0.69
2024-10-27,Citi,Skew,-0.93
2024-10-27,Citi,Smile,0.65
2024-10-27,Citi,Sigma,0.56
2024-10-28,Apple,Skew,0.77
2024-10-28,Apple,Smile,0.93
2024-10-28,Apple,Sigma,0.9
2024-10-28,Amazon,Skew,-0.18
2024-10-28,Amazon,Smile,-0.62
2024-10-28,Amazon,Sigma,-0.77
2024-10-28,Citi,Skew,-0.42
2024-10-28,Citi,Smile,0.4
2024-10-28,Citi,Sigma,0.78
2024-10-29,Apple,Skew,-0.44
2024-10-29,Apple,Smile,0.35
2024-10-29,Apple,Sigma,-0.04
2024-10-29,Amazon,Skew,-0.04
2024-10-29,Amazon,Smile,0.02
2024-10-29,Amazon,Sigma,0.71
2024-10-29,Citi,Skew,0.65
2024-10-29,Citi,Smile,-0.09
2024-10-29,Citi,Sigma,-0.2
2024-10-30,Apple,Skew,-0.97
2024-10-30,Apple,Smile,-0.38
2024-10-30,Apple,Sigma,-0.36
2024-10-30,Amazon,Skew,-0.13
2024-10-30,Amazon,Smile,-0.97
2024-10-30,Amazon,Sigma,0.98
2024-10-30,Citi,Skew,-0.55
2024-10-30,Citi,Smile,0.12
2024-10-30,Citi,Sigma,-0.58
2024-10-31,Apple,Skew,-0.79
2024-10-31,Apple,Smile,0.75
2024-10-31,Apple,Sigma,-0.36
2024-10-31,Amazon,Skew,0.7
2024-10-31,Amazon,Smile,0.83
2024-10-31,Amazon,Sigma,0.66
2024-10-31,Citi,Skew,0.82
2024-10-31,Citi,Smile,-0.0
2024-10-31,Citi,Sigma,-0.18
